"","Median"
"TROAP","0.851698806244261"
"TRPA1","0"
"TRPM3","0.851698806244261"
"TSLP","0.851698806244261"
"TUBA3D","0"
"TUSC5","0.851698806244261"
"TYRP1","0"
"UBE2C","0.851698806244261"
"UHRF1","0.851698806244261"
"VGF","0"
"VIT","0.851698806244261"
"VSTM2A","0"
"WBSCR28","0.851698806244261"
"WIF1","0"
"WISP1","0.851698806244261"
"WIT1","0"
"WT1","0.851698806244261"
"ZIC5","0"
"ZNF716","0"
"AKT1","0"
"APC","0"
"ATM","0"
"BARD1","0"
"BRCA1","0"
"BRCA2","0"
"BRIP1","0.851698806244261"
"C11orf65","0"
"CASP8","0"
"CDC73","0"
"CDH1","0"
"CHEK2","0"
"ERBB2","0"
"ESR1","0"
"FANCC","0"
"FANCM","0"
"HERC2","0"
"HMMR","0.851698806244261"
"KRAS","0.851698806244261"
"MSH2","0"
"MSH6","0"
"NBN","0"
"NQO2","0"
"PALB2","0"
"PHB","0"
"PIK3CA","0"
"PMS2","0"
"PPM1D","0"
"PTEN","0"
"RAD51C","0"
"RAD51","0.851698806244261"
"RAD54L","0.851698806244261"
"RB1CC1","0"
"RET","0"
"SLC22A18","0"
"TP53","0"
"XRCC2","0.851698806244261"
"XRCC3","0"
"ALDH4A1","0"
"AP2B1","0"
"BBC3","0"
"C16orf61","0"
"C20orf46","0"
"C9orf30","0"
"CCNE2","0.851698806244261"
"CDC42BPA","0"
"CDCA7","0"
"COL4A2","0"
"DCK","0"
"DIAPH3","0.851698806244261"
"DTL","0.851698806244261"
"EBF4","0"
"ECT2","0.851698806244261"
"EGLN1","0"
"ESM1","0.851698806244261"
"EXT1","0"
"FGF18","0"
"FLT1","0"
"GMPS","0.851698806244261"
"GNAZ","0"
"GPR126","0"
"GPR180","0"
"GSTM3","0"
"IGFBP5","0"
"JHDM1D","0"
"LIN9","0"
"MCM6","0.851698806244261"
"MMP9","0"
"MS4A7","0"
"MTDH","0"
"NUSAP1","0.851698806244261"
"ORC6L","0.851698806244261"
"OXCT1","0"
"PALM2","0"
"PECI","0"
"PITRM1","0"
"PRC1","0.851698806244261"
"RAB6B","0.851698806244261"
"RASSF7","0"
"RECQL5","0"
"RFC4","0.851698806244261"
"RTN4RL1","0"
"RUNDC1","0"
"SCUBE2","0"
"SERF1A","0"
"SLC2A3","0"
"STK32B","0"
"TGFB3","0"
"TSPYL5","0"
"UCHL5","0"
"AKT2","0"
"AKT3","0"
"APC2","0"
"ARAF","0"
"AXIN1","0"
"AXIN2","0"
"BAK1","0.851698806244261"
"BAX","0"
"BRAF","0"
"CCND1","0"
"CDK4","0"
"CDK6","0"
"CDKN1A","0"
"CSNK1A1L","0"
"CSNK1A1","0"
"CTNNB1","0"
"DDB2","0"
"DLL1","0.851698806244261"
"DLL3","0"
"DLL4","0"
"DVL1","0"
"DVL2","0"
"DVL3","0"
"E2F1","0.851698806244261"
"E2F2","0.851698806244261"
"E2F3","0"
"EGFR","0.851698806244261"
"EGF","0"
"ESR2","0.851698806244261"
"FGF10","0"
"FGF16","0"
"FGF17","0.851698806244261"
"FGF19","0"
"FGF1","0.851698806244261"
"FGF20","0"
"FGF21","0"
"FGF22","0"
"FGF23","0"
"FGF2","0.851698806244261"
"FGF3","0"
"FGF4","0"
"FGF6","0"
"FGF7","0"
"FGF8","0"
"FGF9","0.851698806244261"
"FGFR1","0.851698806244261"
"FLT4","0"
"FOS","0.851698806244261"
"FRAT1","0"
"FRAT2","0"
"FZD10","0"
"FZD1","0"
"FZD2","0"
"FZD3","0"
"FZD4","0.851698806244261"
"FZD5","0"
"FZD6","0"
"FZD7","0"
"FZD8","0"
"FZD9","0"
"GADD45A","0"
"GADD45B","0"
"GADD45G","0"
"GRB2","0"
"GSK3B","0"
"HES1","0"
"HES5","0"
"HEY1","0"
"HEY2","0"
"HEYL","0"
"HRAS","0"
"IGF1R","0"
"IGF1","0"
"JAG1","0"
"JAG2","0.851698806244261"
"JUN","0.851698806244261"
"KIT","0.851698806244261"
"LEF1","0.851698806244261"
"LRP5","0"
"LRP6","0"
"MAP2K1","0"
"MAP2K2","0"
"MAPK1","0"
"MAPK3","0"
"MTOR","0"
"MYC","0"
"NCOA1","0"
"NCOA3","0"
"NFKB2","0"
"NOTCH1","0"
"NOTCH2","0"
"NOTCH3","0"
"NOTCH4","0.851698806244261"
"NRAS","0"
"PGR","0"
"PIK3CB","0"
"PIK3CD","0"
"PIK3R1","0.851698806244261"
"PIK3R2","0.851698806244261"
"PIK3R3","0"
"POLK","0"
"RAF1","0"
"RB1","0"
"RPS6KB1","0"
"RPS6KB2","0"
"SHC1","0"
"SHC2","0"
"SHC3","0"
"SHC4","0"
"SOS1","0"
"SOS2","0"
"SP1","0"
"TCF7L1","0"
"TCF7L2","0.851698806244261"
"TCF7","0"
"TNFSF11","0"
"WNT10A","0"
"WNT10B","0"
"WNT11","0"
"WNT16","0"
"WNT1","0"
"WNT2B","0"
"WNT2","0"
"WNT3A","0"
"WNT3","0"
"WNT4","0"
"WNT5A","0"
"WNT5B","0"
"WNT6","0"
"WNT7A","0"
"WNT7B","0"
"WNT8A","0"
"WNT8B","0"
"WNT9A","0"
"WNT9B","0"
"ATF3","0"
"BATF","0"
"BCL11A","0"
"BCL3","0"
"BCLAF1","0"
"BDP1","0"
"BHLHE40","0"
"BRF1","0"
"BRF2","0"
"CCNT2","0"
"CEBPB","0"
"CHD2","0"
"CTBP2","0"
"CTCFL","0"
"CTCF","0"
"E2F4","0"
"E2F6","0"
"EBF1","0.851698806244261"
"EGR1","0.851698806244261"
"ELF1","0"
"ELK4","0"
"EP300","0"
"ESRRA","0"
"ETS1","0"
"FOSL1","0"
"FOSL2","0"
"FOXA1","0"
"FOXA2","0"
"GABPA","0"
"GATA1","0"
"GATA2","0"
"GATA3","0"
"GTF2B","0"
"GTF2F1","0"
"HDAC2","0"
"HMGN3","0"
"HNF4A","0"
"HNF4G","0"
"HSF1","0"
"IRF1","0"
"IRF3","0"
"IRF4","0"
"JUND","0"
"KAT2A","0"
