"","P_cor"
"NDST4","0.153717870849558"
"NEIL3","0"
"NEK2","0"
"NELL2","0.275030300155873"
"NEURL","0.302921125615341"
"NKAIN1","0.451089877179879"
"NKX2.2","0.219942325336489"
"NMUR1","0"
"NMU","0.349739168832517"
"NNAT","0"
"NPR1","0"
"NPY2R","0"
"NUF2","0"
"NXNL1","0"
"NXPH1","0.176119783035398"
"OR2B6","0"
"ORM1","0.276702058201163"
"ORM2","0"
"OVCH2","0"
"OXTR","0"
"P2RX6","0.451801572431463"
"PAK7","0"
"PAMR1","0"
"PAPPA2","0"
"PAX7","0.199881145879955"
"PBK","0"
"PCK1","0"
"PCOLCE2","0"
"PDE1C","0"
"PDE3B","0"
"PDK4","0"
"PENK","0.438739485970097"
"PFKFB1","0"
"PGA3","0"
"PGA4","0.284872652114046"
"PGA5","0"
"PI16","0"
"PITX1","0.530034865716217"
"PKD1L2","0"
"PKHD1L1","0"
"PKMYT1","0"
"PLAC1","0.495388414667237"
"PLAC9","0"
"PLIN1","0"
"PLIN4","0"
"PLK1","0"
"POTEC","0"
"PPAPDC1A","0"
"PPBP","0.298201198630464"
"PPP1R1A","0"
"PPP2R2C","0.485376224297608"
"PRAME","0.315535740526709"
"PRG4","0"
"PROK1","0.33025520835912"
"PROL1","0.436825269495489"
"PRRT4","0"
"PSAPL1","0.112077227646199"
"PVALB","0.173117898680392"
"PYDC1","0.318354350963505"
"PYGM","0"
"RAD21L1","0.126863149969848"
"RBP4","0"
"RDH16","0.35640352284507"
"RDH5","0"
"RDM1","0"
"RERGL","0"
"RHOXF1","0"
"RIMS4","0"
"RNF186","0"
"RPE65","0.443059514020006"
"RRM2","0"
"RTBDN","0.351718048175061"
"RXRG","0"
"S100A7A","0"
"S100A7","0.270741768566129"
"S100P","0.466897877381842"
"SAA2","0"
"SCARA5","0"
"SCN4A","0"
"SCT","0"
"SDPR","0"
"SEL1L2","0.323942901133937"
"SGCG","0"
"SGK2","0"
"SGOL1","0"
"SIX3","0.228142419400983"
"SKA1","0"
"SLC19A3","0"
"SLC22A12","0.414789820556823"
"SLC24A2","0"
"SLC2A4","0"
"SLC30A8","0.263288320028913"
"SLC36A2","0"
"SLC5A8","0.153814931891268"
"SLC6A4","0.231965952810288"
"SLC7A10","0"
"SLCO1A2","0.413460117327092"
"SMR3B","0"
"SMYD1","0"
"SORBS1","0"
"SPC24","0"
"SPDYC","0.244306594381414"
"SPINK4","0.230582613720082"
"STAB2","0.558548458981122"
"SULT1C3","0"
"SYT13","0.341356489163017"
"SYT5","0"
"TCL1B","0.193928697979391"
"TDO2","0.507551140267657"
"TEX19","0.284727546105229"
"TFR2","0"
"TIMP4","0"
"TLX1","0.297466793506071"
"TLX3","0.162218062900689"
"TMEM132C","0"
"TMEM145","0.381386139723497"
"TMEM151A","0"
"TMEM215","0.371061930205044"
"TNMD","0"
"TNNI3","0.228644527182919"
"TNNT1","0.39391288164163"
"TNNT3","0"
"TNXB","0"
"TOP2A","0"
"TPX2","0"
"TRDN","0"
"TRHDE","0"
"TROAP","0"
"TRPA1","0.295579819663092"
"TRPM3","0"
"TSLP","0"
"TUBA3D","0.295755386862237"
"TUSC5","0"
"TYRP1","0.251671537996582"
"UBE2C","0"
"UHRF1","0"
"VGF","0"
"VIT","0"
"VSTM2A","0.200732629501189"
"WBSCR28","0.491281775265859"
"WIF1","0"
"WISP1","0"
"WIT1","0"
"WT1","0.403315010024564"
"ZIC5","0.133733137449132"
"ZNF716","0.138082579978133"
"AKT1","0.267463134201405"
"APC","0"
"ATM","0.281410989627425"
"BARD1","0.40880008065907"
"BRCA1","0.393871582896813"
"BRCA2","0"
"BRIP1","0"
"C11orf65","0.0906832057058598"
"CASP8","0.184567184582476"
"CDC73","0"
"CDH1","0"
"CHEK2","0"
"ERBB2","0.281986317643145"
"ESR1","0.101114945636199"
"FANCC","0.321461545721228"
"FANCM","0.100580562091417"
"HERC2","0.411763050754955"
"HMMR","0"
"KRAS","0.48608450163064"
"MSH2","0.375591442291135"
"MSH6","0"
"NBN","0.310013422322676"
"NQO2","0.158960900048711"
"PALB2","0.355512885059299"
"PHB","0.208012338297215"
"PIK3CA","0"
"PMS2","0.232511460335835"
"PPM1D","0.184589172487667"
"PTEN","0.307959244807087"
"RAD51C","0.317079400033412"
"RAD51","0"
"RAD54L","0"
"RB1CC1","0.0127932656902293"
"RET","0.336624302434027"
"SLC22A18","0.298878277192001"
"TP53","0.12829211066757"
"XRCC2","0"
"XRCC3","0.162046136288641"
"ALDH4A1","0.32569052744276"
"AP2B1","0.206445578165954"
"BBC3","0"
"C16orf61","0.319965953735886"
"C20orf46","0"
"C9orf30","0.318334259173055"
"CCNE2","0"
"CDC42BPA","0.217735897059952"
"CDCA7","0.118873164076784"
