"","RF_Acc"
"NEURL","0"
"NKAIN1","0.00127209959200753"
"NKX2.2","0.00286222408201695"
"NMUR1","0.00636049796003766"
"NMU","0"
"NNAT","0.0114488963280678"
"NPR1","0.0283042159221676"
"NPY2R","0.00795062245004708"
"NUF2","0.043569411026258"
"NXNL1","0.00222617428601318"
"NXPH1","0.000318024898001883"
"OR2B6","0.0146291453080866"
"ORM1","0.00159012449000942"
"ORM2","0"
"OVCH2","0.0260780416361544"
"OXTR","0.0820504236844859"
"P2RX6","0.0238518673501412"
"PAK7","0.0569264567423371"
"PAMR1","0.361276284130139"
"PAPPA2","0.035300763678209"
"PAX7","0.000318024898001883"
"PBK","0.0209896432681243"
"PCK1","0.00445234857202636"
"PCOLCE2","0.000636049796003766"
"PDE1C","0.0499299089862956"
"PDE3B","0.0019081493880113"
"PDK4","0.0203535934721205"
"PENK","0.00667852285803954"
"PFKFB1","0.00127209959200753"
"PGA3","0.00572444816403389"
"PGA4","0"
"PGA5","0"
"PI16","0.0139930955120829"
"PITX1","0.0111308714300659"
"PKD1L2","0.0101767967360603"
"PKHD1L1","0.00445234857202636"
"PKMYT1","0.0426153363322523"
"PLAC1","0.0467496600062768"
"PLAC9","0.0139930955120829"
"PLIN1","0.00127209959200753"
"PLIN4","0.00954074694005649"
"PLK1","0.0178093942881055"
"POTEC","0"
"PPAPDC1A","0.13675070614081"
"PPBP","0.000318024898001883"
"PPP1R1A","0.00318024898001883"
"PPP2R2C","0.0101767967360603"
"PRAME","0.000318024898001883"
"PRG4","0"
"PROK1","0"
"PROL1","0.00890469714405273"
"PRRT4","0.0019081493880113"
"PSAPL1","0"
"PVALB","0.000954074694005649"
"PYDC1","0.00667852285803954"
"PYGM","0.0184454440841092"
"RAD21L1","0"
"RBP4","0.0019081493880113"
"RDH16","0"
"RDH5","0.00826864734804896"
"RDM1","0.0318024898001883"
"RERGL","0.207988283293231"
"RHOXF1","0"
"RIMS4","0.00127209959200753"
"RNF186","0.00349827387802071"
"RPE65","0.00222617428601318"
"RRM2","0.0311664400041845"
"RTBDN","0.00858667224605084"
"RXRG","0"
"S100A7A","0.00222617428601318"
"S100A7","0.000636049796003766"
"S100P","0.016219269798096"
"SAA2","0.000954074694005649"
"SCARA5","0.127209959200753"
"SCN4A","0.00858667224605084"
"SCT","0.0442054608222617"
"SDPR","0.348555288210064"
"SEL1L2","0.00159012449000942"
"SGCG","0"
"SGK2","0.00731457265404331"
"SGOL1","0.0184454440841092"
"SIX3","0.000318024898001883"
"SKA1","0.0203535934721205"
"SLC19A3","0.00127209959200753"
"SLC22A12","0.000954074694005649"
"SLC24A2","0.078870174704467"
"SLC2A4","0.038162987760226"
"SLC30A8","0.000636049796003766"
"SLC36A2","0"
"SLC5A8","0"
"SLC6A4","0.00159012449000942"
"SLC7A10","0.00127209959200753"
"SLCO1A2","0.00286222408201695"
"SMR3B","0.000318024898001883"
"SMYD1","0.0263960665341563"
"SORBS1","0.0146291453080866"
"SPC24","0.00540642326603201"
"SPDYC","0.000318024898001883"
"SPINK4","0"
"STAB2","0.0604247306203578"
"SULT1C3","0.000636049796003766"
"SYT13","0"
"SYT5","0.000318024898001883"
"TCL1B","0.000318024898001883"
"TDO2","0.0143111204100847"
"TEX19","0"
"TFR2","0.0143111204100847"
"TIMP4","0.00636049796003766"
"TLX1","0.000954074694005649"
"TLX3","0"
"TMEM132C","0.0159012449000942"
"TMEM145","0.016219269798096"
"TMEM151A","0"
"TMEM215","0.0114488963280678"
"TNMD","0.0251239669421488"
"TNNI3","0.000318024898001883"
"TNNT1","0.00508839836803013"
"TNNT3","0.000318024898001883"
"TNXB","0.0830044983784915"
"TOP2A","0.0171733444921017"
"TPX2","0.0534281828643164"
"TRDN","0.000318024898001883"
"TRHDE","0"
"TROAP","0.0286222408201695"
"TRPA1","0.00222617428601318"
"TRPM3","0.040707186944241"
"TSLP","0.51679045925306"
"TUBA3D","0"
"TUSC5","0.000318024898001883"
"TYRP1","0"
"UBE2C","0.00922272204205461"
"UHRF1","0.0502479338842975"
"VGF","0"
"VIT","0.206398158803222"
"VSTM2A","0"
"WBSCR28","0.000318024898001883"
"WIF1","0.00318024898001883"
"WISP1","0.138340830630819"
"WIT1","0.00254419918401506"
"WT1","0.00540642326603201"
"ZIC5","0.000318024898001883"
"ZNF716","0.000954074694005649"
"AKT1","0.00222617428601318"
"APC","0"
"ATM","0.000636049796003766"
"BARD1","0.000954074694005649"
"BRCA1","0.000954074694005649"
"BRCA2","0.0120849461240716"
"BRIP1","0.000318024898001883"
"C11orf65","0"
"CASP8","0"
"CDC73","0.000636049796003766"
"CDH1","0.00127209959200753"
"CHEK2","0.00477037347002825"
"ERBB2","0.00159012449000942"
"ESR1","0.00254419918401506"
"FANCC","0.000318024898001883"
"FANCM","0.000954074694005649"
"HERC2","0.00318024898001883"
"HMMR","0.0308484151061827"
"KRAS","0.0171733444921017"
"MSH2","0.000318024898001883"
"MSH6","0.00159012449000942"
"NBN","0"
"NQO2","0"
"PALB2","0.00985877183805837"
"PHB","0"
"PIK3CA","0"
"PMS2","0.000954074694005649"
"PPM1D","0.0019081493880113"
"PTEN","0"
"RAD51C","0.00286222408201695"
"RAD51","0.0184454440841092"
"RAD54L","0.00349827387802071"
"RB1CC1","0"
"RET","0.000636049796003766"
"SLC22A18","0.000636049796003766"
"TP53","0"
"XRCC2","0.00254419918401506"
"XRCC3","0"
"ALDH4A1","0"
"AP2B1","0.000636049796003766"
"BBC3","0.000636049796003766"
"C16orf61","0.000318024898001883"
"C20orf46","0"
"C9orf30","0.0019081493880113"
"CCNE2","0.128800083690763"
"CDC42BPA","0.00127209959200753"
"CDCA7","0"
"COL4A2","0.000636049796003766"
"DCK","0"
"DIAPH3","0.00127209959200753"
"DTL","0.0556543571503295"
"EBF4","0"
"ECT2","0.0591526310283503"
"EGLN1","0"
"ESM1","0.0712375771524218"
"EXT1","0"
"FGF18","0.000954074694005649"
"FLT1","0"
"GMPS","0.00763259755204519"
"GNAZ","0.00286222408201695"
"GPR126","0.000318024898001883"
"GPR180","0"
"GSTM3","0.000318024898001883"
"IGFBP5","0.000318024898001883"
"JHDM1D","0"
"LIN9","0.00318024898001883"
"MCM6","0.0057244481640339"
"MMP9","0.00127209959200753"
"MS4A7","0.000954074694005649"
"MTDH","0"
"NUSAP1","0.0422973114342504"
"ORC6L","0.00763259755204519"
"OXCT1","0.00286222408201695"
"PALM2","0.000318024898001883"
"PECI","0.000954074694005649"
"PITRM1","0"
"PRC1","0.0620148551103672"
"RAB6B","0.013675070614081"
"RASSF7","0.00127209959200753"
"RECQL5","0"
"RFC4","0.00127209959200753"
"RTN4RL1","0.00159012449000942"
"RUNDC1","0.0155832200020923"
"SCUBE2","0.00445234857202636"
"SERF1A","0"
"SLC2A3","0"
"STK32B","0.000954074694005649"
"TGFB3","0.00636049796003766"
"TSPYL5","0.0101767967360603"
"UCHL5","0.00890469714405273"
"AKT2","0.000636049796003766"
"AKT3","0.000954074694005649"
"APC2","0"
"ARAF","0"
"AXIN1","0"
"AXIN2","0.00318024898001883"
"BAK1","0.00540642326603201"
"BAX","0.00159012449000942"
"BRAF","0"
"CCND1","0"
"CDK4","0.000318024898001883"
"CDK6","0.000318024898001883"
"CDKN1A","0"
"CSNK1A1L","0.000318024898001883"
"CSNK1A1","0"
"CTNNB1","0"
"DDB2","0"
"DLL1","0.00667852285803954"
"DLL3","0.000318024898001883"
"DLL4","0.000318024898001883"
"DVL1","0"
"DVL2","0"
"DVL3","0.0104948216340621"
"E2F1","0.00222617428601318"
"E2F2","0.00477037347002825"
"E2F3","0.00731457265404331"
"EGFR","0.0197175436761167"
"EGF","0"
"ESR2","0.00286222408201695"
"FGF10","0.0225797677581337"
"FGF16","0"
"FGF17","0.0127209959200753"
"FGF19","0"
"FGF1","0.0992237681765875"
"FGF20","0.00127209959200753"
"FGF21","0.000636049796003766"
"FGF22","0"
"FGF23","0.000318024898001883"
"FGF2","0.00667852285803954"
"FGF3","0"
"FGF4","0"
"FGF6","0"
"FGF7","0.000318024898001883"
"FGF8","0.00127209959200753"
"FGF9","0.0038162987760226"
"FGFR1","0.0340286640862015"
"FLT4","0.00127209959200753"
"FOS","0.0038162987760226"
"FRAT1","0.000636049796003766"
"FRAT2","0.00127209959200753"
"FZD10","0"
"FZD1","0"
"FZD2","0.00731457265404331"
"FZD3","0"
"FZD4","0.00667852285803954"
"FZD5","0.00222617428601318"
"FZD6","0.000318024898001883"
"FZD7","0.000318024898001883"
"FZD8","0"
"FZD9","0.0019081493880113"
"GADD45A","0.000318024898001883"
"GADD45B","0"
"GADD45G","0"
"GRB2","0.00445234857202636"
"GSK3B","0.00159012449000942"
"HES1","0.000636049796003766"
"HES5","0"
"HEY1","0.000636049796003766"
"HEY2","0.000636049796003766"
"HEYL","0.00445234857202636"
"HRAS","0"
"IGF1R","0.000318024898001883"
"IGF1","0.00254419918401506"
"JAG1","0"
"JAG2","0.00477037347002825"
"JUN","0.0200355685741186"
"KIT","0.0143111204100847"
"LEF1","0.0149471702060885"
"LRP5","0"
"LRP6","0"
"MAP2K1","0"
"MAP2K2","0"
"MAPK1","0"
"MAPK3","0"
"MTOR","0.000318024898001883"
"MYC","0.0117669212260697"
"NCOA1","0"
"NCOA3","0.0019081493880113"
"NFKB2","0.00254419918401506"
"NOTCH1","0"
"NOTCH2","0.000318024898001883"
"NOTCH3","0"
"NOTCH4","0.00985877183805837"
"NRAS","0"
"PGR","0"
"PIK3CB","0.000318024898001883"
"PIK3CD","0"
"PIK3R1","0.00667852285803954"
"PIK3R2","0.00508839836803013"
"PIK3R3","0.00445234857202636"
"POLK","0"
"RAF1","0.00127209959200753"
"RB1","0"
"RPS6KB1","0"
"RPS6KB2","0.000318024898001883"
"SHC1","0.00477037347002825"
"SHC2","0.00222617428601318"
"SHC3","0"
"SHC4","0.000318024898001883"
"SOS1","0.000318024898001883"
"SOS2","0.000318024898001883"
"SP1","0.000318024898001883"
"TCF7L1","0.0133570457160791"
"TCF7L2","0.00349827387802071"
"TCF7","0.000318024898001883"
"TNFSF11","0"
"WNT10A","0.000318024898001883"
"WNT10B","0.000318024898001883"
"WNT11","0.00985877183805837"
"WNT16","0"
"WNT1","0.000318024898001883"
"WNT2B","0.000636049796003766"
"WNT2","0.00254419918401506"
"WNT3A","0"
"WNT3","0.00159012449000942"
"WNT4","0.000318024898001883"
"WNT5A","0.00349827387802071"
"WNT5B","0.000954074694005649"
"WNT6","0.00127209959200753"
"WNT7A","0"
"WNT7B","0.00159012449000942"
"WNT8A","0"
"WNT8B","0.000954074694005649"
"WNT9A","0"
"WNT9B","0"
"ATF3","0.0019081493880113"
"BATF","0"
"BCL11A","0.000318024898001883"
"BCL3","0"
"BCLAF1","0.000318024898001883"
"BDP1","0"
"BHLHE40","0"
"BRF1","0.000318024898001883"
"BRF2","0.000954074694005649"
"CCNT2","0.000318024898001883"
"CEBPB","0.00222617428601318"
"CHD2","0.000318024898001883"
"CTBP2","0.000318024898001883"
"CTCFL","0"
"CTCF","0"
"E2F4","0.0019081493880113"
"E2F6","0"
"EBF1","0.0174913693901036"
"EGR1","0.0133570457160791"
"ELF1","0.000318024898001883"
"ELK4","0.000318024898001883"
"EP300","0.000954074694005649"
"ESRRA","0"
"ETS1","0.000636049796003766"
"FOSL1","0"
"FOSL2","0"
"FOXA1","0.0403891620462391"
"FOXA2","0"
"GABPA","0.00127209959200753"
"GATA1","0"
"GATA2","0"
"GATA3","0.0400711371482373"
"GTF2B","0"
"GTF2F1","0"
"HDAC2","0.000318024898001883"
"HMGN3","0.00349827387802071"
"HNF4A","0"
"HNF4G","0.00222617428601318"
"HSF1","0.000318024898001883"
"IRF1","0.000636049796003766"
"IRF3","0"
"IRF4","0.000954074694005649"
"JUND","0.000954074694005649"
"KAT2A","0.000636049796003766"
"MAFF","0.00413432367402448"
"MAFK","0.000636049796003766"
"MAX","0.000318024898001883"
"MEF2A","0.000954074694005649"
"MEF2C","0.00508839836803013"
"MXI1","0.00954074694005649"
"NANOG","0.000636049796003766"
"NFE2","0.000318024898001883"
"NFKB1","0"
"NFYA","0.000954074694005649"
"NFYB","0.000636049796003766"
"NR2C2","0.000318024898001883"
"NR3C1","0.0187634689821111"
"NRF1","0"
"PAX5","0"
"PBX3","0"
"POLR3A","0.000954074694005649"
"POU2F2","0"
"POU5F1","0.000636049796003766"
"PPARGC1A","0.0133570457160791"
"PRDM1","0.000318024898001883"
"RAD21","0.00318024898001883"
"REST","0.00159012449000942"
"RFX5","0.0283042159221676"
"RXRA","0.000636049796003766"
"SETDB1","0.000318024898001883"
"SIN3A","0.000636049796003766"
"SIRT6","0"
"SIX5","0"
"SMARCA4","0.00286222408201695"
"SMARCB1","0.000318024898001883"
"SMARCC1","0.000318024898001883"
"SMARCC2","0"
"SMC3","0"
"SP2","0.00763259755204519"
"SPI1","0.000318024898001883"
"SREBF1","0"
"SREBF2","0.000318024898001883"
"SRF","0.00508839836803013"
"STAT1","0.000954074694005649"
"STAT2","0.000636049796003766"
"STAT3","0.000636049796003766"
"SUZ12","0"
"TAF1","0"
"TAF7","0.0038162987760226"
"TAL1","0.0187634689821111"
"TBP","0.0038162987760226"
"TCF12","0"
"TCF4","0.00127209959200753"
"TFAP2A","0.0019081493880113"
"TFAP2C","0.000636049796003766"
"THAP1","0"
"TRIM28","0.000636049796003766"
"USF1","0"
"USF2","0.000318024898001883"
"WRNIP1","0.0019081493880113"
"XRCC4","0.00222617428601318"
"YY1","0.00349827387802071"
"ZBTB33","0.000318024898001883"
"ZBTB7A","0.000636049796003766"
"ZEB1","0.000318024898001883"
"ZNF143","0.000636049796003766"
"ZNF263","0.000954074694005649"
"ZNF274","0"
"ZZZ3","0"
