"","S_cor"
"SERF1A","0.110409896040677"
"SLC2A3","0.152175036153058"
"STK32B","0.112551698097723"
"TGFB3","0.301672819734809"
"TSPYL5","0.109767355423564"
"UCHL5","0"
"AKT2","0.0862075327960672"
"AKT3","0.338940175527395"
"APC2","0.176912984475426"
"ARAF","0.111694977274905"
"AXIN1","0"
"AXIN2","0.471303542652785"
"BAK1","0"
"BAX","0.512854502559461"
"BRAF","0.109767355423564"
"CCND1","0.276399555461676"
"CDK4","0.459737811544741"
"CDK6","0.366141061651868"
"CDKN1A","0.0763552433336595"
"CSNK1A1L","0.112126322716969"
"CSNK1A1","0.240417280903318"
"CTNNB1","0.117906203240335"
"DDB2","0.32116321845392"
"DLL1","0"
"DLL3","0.118218315737528"
"DLL4","0.311096748785808"
"DVL1","0.0729283600423873"
"DVL2","0.234206054937887"
"DVL3","0.475158786355466"
"E2F1","0"
"E2F2","0"
"E2F3","0.481584192526602"
"EGFR","0"
"EGF","0.22917456325662"
"ESR2","0"
"FGF10","0.500540948723443"
"FGF16","0.0814216911033965"
"FGF17","0"
"FGF19","0.276313777484451"
"FGF1","0"
"FGF20","0.140975248435919"
"FGF21","0.106377498621486"
"FGF22","0.149624503859574"
"FGF23","0.0693850659272832"
"FGF2","0"
"FGF3","0.0609231229208369"
"FGF4","0.0348800984419988"
"FGF6","0.0615905896286842"
"FGF7","0"
"FGF8","0.293717171754717"
"FGF9","0"
"FGFR1","0"
"FLT4","0"
"FOS","0"
"FRAT1","0.0641469716085022"
"FRAT2","0.320949038248216"
"FZD10","0.15988552355842"
"FZD1","0.172950516106396"
"FZD2","0.472802804092717"
"FZD3","0.0928471191729072"
"FZD4","0"
"FZD5","0.410048003821294"
"FZD6","0.00953101915385091"
"FZD7","0.437248889945767"
"FZD8","0.33208640894485"
"FZD9","0.385005319283709"
"GADD45A","0.201008123053687"
"GADD45B","0.0795679464192273"
"GADD45G","0.152603396564467"
"GRB2","0.423755536986383"
"GSK3B","0.3344423912076"
"HES1","0.00867429833103285"
"HES5","0.0455753404952709"
"HEY1","0.365712701240459"
"HEY2","0.485653616434987"
"HEYL","0.384346379136752"
"HRAS","0.178305021249009"
"IGF1R","0.128615213525561"
"IGF1","0"
