"","Ridge"
"NEIL3","0.466453356282778"
"NEK2","0.554965916682383"
"NELL2","0"
"NEURL","0"
"NKAIN1","0.389771023937885"
"NKX2.2","0"
"NMUR1","0.386106199628441"
"NMU","0"
"NNAT","0"
"NPR1","0.429755453452734"
"NPY2R","0.533094057095242"
"NUF2","0.509883870781331"
"NXNL1","0"
"NXPH1","0"
"OR2B6","0.512266642694506"
"ORM1","0"
"ORM2","0"
"OVCH2","0.554453705789428"
"OXTR","0.602801489555359"
"P2RX6","0.443914923821958"
"PAK7","0.594320886372254"
"PAMR1","0.645945479273233"
"PAPPA2","0.479614858411689"
"PAX7","0"
"PBK","0.46002430438116"
"PCK1","0"
"PCOLCE2","0"
"PDE1C","0.627261822211639"
"PDE3B","0"
"PDK4","0.450261531083814"
"PENK","0.485273733214269"
"PFKFB1","0"
"PGA3","0"
"PGA4","0"
"PGA5","0"
"PI16","0.425962349679718"
"PITX1","0.551784915049602"
"PKD1L2","0.382256956249137"
"PKHD1L1","0.497015523970615"
"PKMYT1","0.503119770186273"
"PLAC1","0.47810494699351"
"PLAC9","0.420395065187463"
"PLIN1","0.387976898973062"
"PLIN4","0.417211336654511"
"PLK1","0.494889748848335"
"POTEC","0"
"PPAPDC1A","0.641764460728601"
"PPBP","0"
"PPP1R1A","0"
"PPP2R2C","0.420780413375863"
"PRAME","0"
"PRG4","0"
"PROK1","0"
"PROL1","0.46721658958985"
"PRRT4","0"
"PSAPL1","0"
"PVALB","0"
"PYDC1","0.403983434846873"
"PYGM","0"
"RAD21L1","0"
"RBP4","0"
"RDH16","0"
"RDH5","0.38386083572074"
"RDM1","0.409803934592802"
"RERGL","0.547739232201391"
"RHOXF1","0.396722610336167"
"RIMS4","0"
"RNF186","0.575324975843013"
"RPE65","0.557069953268518"
"RRM2","0.486762349687058"
"RTBDN","0"
"RXRG","0"
"S100A7A","0"
"S100A7","0"
"S100P","0.496620966179938"
"SAA2","0"
"SCARA5","0.54628406393419"
"SCN4A","0.380930714455351"
"SCT","0.49199899319196"
"SDPR","0.544020262754839"
"SEL1L2","0"
"SGCG","0"
"SGK2","0.373077593885868"
"SGOL1","0.440914618341551"
"SIX3","0"
"SKA1","0.477586918681359"
"SLC19A3","0"
"SLC22A12","0"
"SLC24A2","0.670341710728692"
"SLC2A4","0.443416107888926"
"SLC30A8","0"
"SLC36A2","0"
"SLC5A8","0"
"SLC6A4","0"
"SLC7A10","0"
"SLCO1A2","0.505298281057672"
"SMR3B","0"
